Project	Title	Abstract	Sequence Runs
SRP107588	Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen10_05102014_R1 metagenome	Response and recovery of surface soil microbial communities to an ongoing underground coalmine fire	SRR5579875
SRP093102	Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC077_MetaG metagenome	Metagenomics of anaerobic wastewater microbial communities to study anthropogenic carbon cycling	SRR5007352
SRP051064	Seawater and sea ice Metagenome	The risk of petroleum hydrocarbon contamination in the Canadian Arctic has increased due to the loss of sea ice from global warming that has contributed towards an an extension of the open-water season for marine transport within the Northwest Passage. The potential of the native bacterial communities to withstand and attenuate potential accidental spills of petroleum hydrocarbons within this pristine and fragile environment is unknown. As a first step toward increasing this understanding, bacterial communities in melt water from the bottom layer of sea ice cores (sea ice bottom) and surface water from 23 locations around Cornwallis Island, NU, Canada were scrutinized for their hydrocarbon degradation capacity.	SRR1705987,SRR1705988,SRR1705989,SRR1705990,SRR1705991,SRR1705992,SRR1705993,SRR1705994,SRR1705995,SRR1705996,SRR1705997,SRR1705998,SRR1705999,SRR1706000,SRR1706001,SRR1706002
SRP055445	Enterovirus D68 Genome sequencing	sequencing enterovirus D-68	SRR3193874,SRR3193876,SRR3193877,SRR3193878
SRP103448	Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 97_LOW12 metagenome	Methane oxidation as a community function: Freshwater sediment methanotrophic sample from Lake Washington under simulated oxygen tension - Sediment Metagenome 97_LOW12	SRR5431160
SRP119564	Cassida rubiginosa whole body and foregut microbiota	Full genome sequence of Stammera capleta, symbiont of Cassida rubiginosa	SRR6147586
SRP104825	Estuarine microbial communities from the Columbia River estuary - Flood tide ETM metaG S.705 metagenome	Sequencing of microbial communities from the Columbia River estuary to analyze effect of nutrient fluxes	SRR5468157
SRP081371	Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaG HF017 metagenome	 	SRR4022098
SRP006102	15 samples from Beaufort Sea uncultured phage metagenome	15 samples collected from the Beaufort Sea, Amundsen Gulf in the Arctic (polar coastal sea, surface and mixed layer).    GOB 5-1 GOB 5-2 GOB 5-3 GOB 5-4 GOB 5-5 GOB 5-6 GOB 5-7 GOB 5-8 GOB 5-9 GOB 5-10 GOB 5-11 GOB 5-12 GOB 5-13 GOB 5-14 GOB 5-15	SRR138363,SRR243756
SRP080659	Soil microbial communities from Rifle, Colorado - Rifle CSP2_plank lowO2_1.2 metagenome	 	SRR3990169
SRP080279	Freshwater microbial communities from Lake Mendota, WI - 30JUL2009 deep hole epilimnion metagenome	 	SRR3985707
SRP055985	Oil droplet biodegradation Trondheimsfjord Metagenome	We established a novel laboratory system to investigate biodegradation of Macondo oil dispersions (10 Âµm or 30 Âµm median droplet sizes) at low oil concentrations (2 mg L-1) in coastal Norwegian seawater at a temperature of 4-5Â°C. Metagenomic analyses were performed on 0.5 - 1 Âµg whole extracted DNA using Illumina HiSeq 100 bp paired end reads.	SRR1873746,SRR1916591,SRR1916815,SRR1916824,SRR1917065,SRR1917097,SRR1917151,SRR1917152,SRR1917156,SRR1917302,SRR1917310,SRR1917409,SRR1917411,SRR1919339
SRP093117	Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC111_MetaG metagenome	Metagenomics of anaerobic wastewater microbial communities to study anthropogenic carbon cycling	SRR5007461
SRP082102	Hot spring and microbial mat streamer communities from Octopus Spring Streamers, Yellowstone National Park, USA - T=80-84 metagenome	 	SRR4030098
ERP016813	Integrated metabolomics and metagenomics analysis of plasma and urine identified microbial metabolites associated with coronary heart disease	Coronary heart disease (CHD) is top risk factor for health in modern society, causing high mortality rate each year. However, there is no reliable way for early diagnosis and prevention of CHD so far. So study the mechanism of CHD and development of novel biomarkers is urgently needed. In this study, metabolomics and metagenomics technology are applied to discover new biomarkers from plasma and urine of 59 CHD patients and 43 healthy controls and trace their origin. We identify GlcNAc-6-P which has good diagnostic capability and can be used as potential biomarkers for CHD, together with mannitol and 15 plasma cholines. These identified metabolites show significant correlations with clinical biochemical indexes. Meanwhile, GlcNAc-6-P and mannitol are potential metabolites originated from intestinal microbiota. Association analysis on species and function levels between intestinal microbes and metabolites suggest a close correlation between Clostridium sp. HGF2 and GlcNAc-6-P, Clostridium sp. HGF2, Streptococcus sp. M143, Streptococcus sp. M334 and mannitol. These suggest the metabolic abnormality is significant and gut microbiota dysbiosis happens in CHD patients.	ERR1578619,ERR1578620,ERR1578621,ERR1578622,ERR1578623,ERR1578624,ERR1578625,ERR1578626,ERR1578627,ERR1578628,ERR1578629,ERR1578630,ERR1578631,ERR1578632,ERR1578633,ERR1578634,ERR1578636,ERR1578637,ERR1578638,ERR1578640,ERR1578641,ERR1578642,ERR1578643,ERR1578644,ERR1578645,ERR1578646,ERR1578647,ERR1578648,ERR1578649,ERR1578650,ERR1578651,ERR1578652,ERR1578653,ERR1578654,ERR1578655,ERR1578656,ERR1578657,ERR1578658,ERR1578659,ERR1578660,ERR1578661,ERR1578663,ERR1578664,ERR1578665,ERR1578666,ERR1578667,ERR1578668,ERR1578669,ERR1578670,ERR1578671,ERR1578672,ERR1578673,ERR1578674,ERR1578676,ERR1578677,ERR1578678,ERR1578679,ERR1578680,ERR1578681,ERR1578682,ERR1578683,ERR1578684,ERR1578685,ERR1578686,ERR1578687,ERR1578688,ERR1578689,ERR1578690,ERR1578691,ERR1578692,ERR1578693,ERR1578694,ERR1578695,ERR1578696,ERR1578697,ERR1578698,ERR1578699,ERR1578700,ERR1578701,ERR1578702,ERR1578703,ERR1578704,ERR1578705,ERR1578706,ERR1578707,ERR1578708,ERR1578709,ERR1578710,ERR1578711,ERR1578712,ERR1578713,ERR1578714,ERR1578715,ERR1578716,ERR1578717,ERR1578718,ERR1578719,ERR1578720
SRP104867	Estuarine microbial communities from the Columbia River estuary - metaG 1546C-3 metagenome	Sequencing of microbial communities from the Columbia River estuary to analyze effect of nutrient fluxes	SRR5468267
SRP081902	Freshwater microbial communities from Trout Bog Lake, WI - 29JUL2008 epilimnion metagenome	 	SRR4029110
SRP006718	Bog site B3 Project	none provided	SRR201766,SRR201767,SRR201768
SRP000146	Viral community from medium salinity saltern	Viral community collected November 10, 2005, from a "medium" salinity saltern in San Diego, CA (32.599040, -117.107356). Sequenced at 454 Life Sciences.    454 sequence data is available from the Short Read Archive (SRA): <a href="ftp://ftp.ncbi.nih.gov/pub/TraceDB/ShortRead/SRA000427  ">SRA000427</a>.   Metagenomics SEED ID: 4440431.3  Nature paper ID: 17  The WGS project can be found using the Project data link.	SRR001055,SRR001056
SRP106451	Guchuan gaed-pit mud Genome sequencing and assembly	Pit mud is very important for Luzhou-flavor liquor making. Aged pit mud is very good for fermenting the high quality of liquor.	SRR5507525
ERP010892	Compositional_changes_in_the_human_gut_microbiota_driven_by_different_dietary_fibres_are_species_specific	The gut microbiota is influenced by dietary intake. To gain a better understanding of the factors involved, we supplied alternative dietary fibres as energy sources to three different human gut microbial communities in pH-controlled continuous flow fermentors. The communities enriched by apple pectin and inulin did not differ greatly at the phylum and family level, but were strikingly different at the species level. Of the eight most abundant Bacteroides species detected, for example, two were promoted specifically by inulin and six specifically by pectin. Responses were quantitatively influenced by pH, which was stepped between 5.5, 6.0, 6.4 and 6.9 within each experiment. The development of prebiotics intended to benefit human health must therefore take account of the highly individual species profiles that may result.	ERR956097,ERR956098,ERR956099,ERR956100,ERR956101,ERR956102,ERR956103,ERR956104,ERR956105,ERR956106,ERR956107,ERR956108,ERR956109,ERR956110,ERR956111,ERR956112,ERR956113,ERR956114,ERR956115,ERR956116,ERR956117,ERR956118,ERR956119,ERR956120,ERR956121,ERR956122,ERR956123,ERR956124,ERR956125,ERR956126,ERR956127,ERR956128,ERR956129,ERR956130,ERR956131,ERR956132,ERR956133,ERR956134,ERR956135,ERR956136,ERR956137,ERR956138,ERR956139,ERR956140,ERR956141,ERR956142,ERR956143,ERR956144,ERR956145,ERR956146,ERR956147,ERR956148,ERR956149,ERR956150,ERR956151,ERR956152,ERR956153,ERR956154,ERR956155,ERR956156,ERR956157,ERR956158,ERR956159,ERR956160,ERR956161,ERR956162,ERR956163,ERR956164,ERR956165,ERR956166,ERR956167,ERR956168,ERR956169,ERR956170,ERR956171,ERR956172,ERR956173,ERR956174,ERR956175,ERR956176,ERR956177,ERR956178,ERR956179,ERR956180,ERR956181,ERR956182,ERR956183,ERR956184,ERR956185,ERR956186,ERR956187
ERP010780	Root microbiome in phytohormone mutants.	The root bacterial microbiome of Arabidopsis thaliana was profiled, via 16S rRNA gene sequencing. Roots of wild-type plants and isogenic mutants in biosynthesis/signaling of salicylic acid, jasmonic acid and ethylene were profiled. Endophytic compartment and rhizosphere were independently profiled from each plant, as well as bulk soil controls.	ERR923489,ERR923579,ERR923758,ERR923925,ERR923929,ERR923973,ERR923982,ERR923984,ERR923985,ERR924209,ERR924230,ERR924380,ERR924478,ERR924480,ERR924489,ERR924500
SRP099897	Rice paddy soil microbial communities from Twitchell Island, California, USA - SF_Rice_25C_80N_201 metagenome	Metagenome from experimental rice fields on Twitchell Island, CA, USA to study carbon cycling. Soils were collected between rows of rice at the end of the growing season, just prior to water drawdown on August 16, 2013. Soil DNA was extracted from homogenized, composited cores. Soil sample is with 25% carbon and fertilized with 80 kg N/ha.	SRR5260272
SRP081935	Freshwater microbial communities from Trout Bog Lake, WI - 29JUN2009 epilimnion metagenome	 	SRR4029374
SRP080500	Marine microbial communities from oxygen minimum zone in mesopelagic equatorial Pacific - METZYME_3_800m metagenome	 	SRR3989341
ERP020679	GD_MGS_title	GD_MGS_describe	ERR1777395
SRP103462	Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 112_LOW13 metagenome	Methane oxidation as a community function: Freshwater sediment methanotrophic sample from Lake Washington under simulated oxygen tension - Sediment Metagenome 112_LOW13	SRR5431180
SRP064432	Freshwater biofilm Raw sequence reads	This study surveys microbial communities at five sites in an arctic river across pH and metal concentration gradients.	SRR2556883,SRR2556884,SRR2556885,SRR2556886
SRP109108	Metagenomics of filter communities in a drinking water treatment plant	Microorganisms inhabiting filtration media of a drinking water treatment plant are beneficial. This project aims to examine what microbial consortia colonize filters and what metabolic capacity they possess, using metagenome sequencing and analysis.	SRR5680087,SRR5680089,SRR5680086,SRR5680088
SRP110056	Microbiome in beef cattle	The objectives of the study were to analyze the microbiome associated with the gastrointestinal tract of beef cattle and to determine the shifts in microbial communities when antibiotic feed additives are fed.	SRR5738067,SRR5738068,SRR5738070,SRR5738071,SRR5738072,SRR5738073,SRR5738074,SRR5738075,SRR5738077,SRR5738078,SRR5738079,SRR5738080,SRR5738081,SRR5738082,SRR5738083,SRR5738084,SRR5738085,SRR5738086,SRR5738087,SRR5738088,SRR5738089,SRR5738090,SRR5738091,SRR5738092,SRR5738093,SRR5738094,SRR5738095,SRR5738096,SRR5738069,SRR5738076
SRP107648	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_23-Sept-14 metagenome	Coupling Microbial Communities to Carbon and Contaminant Biogeochemistry in the Groundwater-Surface Water Interaction Zone	SRR5580776
SRP015320	Dehalobacter sp. CF strain:CF Genome sequencing	The sequencing of a chloroform-dechlorinating culture derived from an enrichment culture.	SRR554404,SRR554406
SRP072718	Tibet Environment Metagenome	search antibiotic resistance genes in various samples of Tibet environment	SRR5633581,SRR5633591,SRR5633600
SRP098505	Freshwater to marine salinity gradient microbial communities from Chesapeake Bay, USA - CPBay_Sum_20_0.8_DNA metagenome	Genome sequencing of microbial communities from Cheepsake Bay to study organic matter cycling in a time-series	SRR5216645
SRP107574	Marine sediment microbial communities from the Atlantic coast under amendment with organic carbon and nitrate - tdAd47.2 metagenome	Metagenomic sequencing of an uncultivated bacterial phylum in marine sediments amended with organic carbon and nitrate	SRR5579847
SRP081911	Freshwater microbial communities from Trout Bog Lake, WI - 22JUL2008 epilimnion metagenome	 	SRR4029119
SRP099486	Olavius algarvensis symbiont microbial communities from Tuscany, Italy - Type A ELBA extract 1 metagenome	 	SRR5251647
SRP080472	Soil microbial communities from Rifle, Colorado - Rifle CSP2_sed 10_3 metagenome	 	SRR3989295
ERP017367	Niche partitioning of diverse sulfur oxidizing bacteria at hydrothermal vents	In the dark ocean primary production is carried out by chemolithoautotrophic microorganisms, with the oxidation of reduced sulfur compounds being a major driver for microbial carbon fixation. At highly sulfidic hydrothermal fields a variety of microorganisms oxidizing sulfur compounds can be observed in high abundance. Yet, the principles of niche differentiation and distribution of the different sulfur-oxidizing prokaryotes (SOP) across geochemical gradients remain poorly understood.We addressed niche differentiation of SOP by extensive sampling of active sulfidic vents at six different hydrothermal venting sites in the Manus Basin, in Papua New Guinea. For this study, we collected 33 diffuse fluid and rising plume samples, and 23 samples from surfaces of chimneys, rocks and fauna. Based on our detailed analyses of 16S RNA gene sequences, metagenomes and real-time in situ measured geochemical parameters, we are now able to describe the distribution and potential niches of SOP from the highly diverse Epsilonproteobacteria genera Sulfurimonas and Sulfurovum and the rather uniform SUP05-clade Gammaproteobacteria within the geochemical mixing gradient. While Sulfurovum was mainly found attached to surfaces exposed to diffuse venting, the SUP05-clade was found to be planktonic in areas of high dilution of the vent fluids by entrained seawater. We further propose that the high diversity within Sulfurimonas and Sulfurovum related bacteria observed in this study derives from the high variation of environmental parameters such as sulfide concentrations across small spatial and temporal scales within their niche.	ERR1679394,ERR1679396,ERR1679397,ERR1679398
SRP107917	Marine microbial communities from the West Antarctic Peninsula - Coastal water metaG029-DNA metagenome	Actively growing bacteria in coastal waters of the west Antarctic Peninsula identified by metatranscriptomic analysis	SRR5590986
SRP099927	Freshwater microbial communities from Crystal Bog, Wisconsin, USA - CBE24Aug09 metagenome	 	SRR5260555
SRP080050	Marine microbial communities from the Deep Indian Ocean - MP1091 metagenome	 	SRR3963658
ERP021960	The study investigated CO biomethanation by anaerobic microorganisms	The study investigated CO biomethanation by anaerobic microorganisms, and the CO converting microorganisms were identified by metagenomic analysis	ERR1876141
SRP104071	Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS C7.1-3L metaG metagenome	Metagenomic analysis of the rhizosphere of three biofuel crops at the KBS intensive site	SRR5451739
SRP098377	Termite gut microbial communities from Petit-Saut, French Guiana - Lab288P1 metaG metagenome	Metagenomics of the gut microbiota of higher termites	SRR5215140,SRR5215141
SRP064843	Arabian Sea oxygen minimum zone Raw sequence reads	Metagenomic sequencing reads (IonTorrent) from the upper limit and core of the Aranbian Sea oxygen minimum zone	SRR2657586,SRR2657589
SRP050969	Mus musculus Epigenomics	We immunoprecipitated chromatin with YAP antibody to determine the binding regions of YAP on the chromatin.	SRR1698241
ERP021211	Microbes present in feed to Atlantic salmon	THe samples are to investigate the type of microbes that Atlantic salmon are feed through feed	ERR1823565,ERR1823566,ERR1854456,ERR1854457,ERR1854458,ERR1854459,ERR1854460,ERR1854462,ERR1854463,ERR1854464,ERR1854465,ERR1854466,ERR1854467
SRP007287	Metagenonme of acid mine drainage from Guangdong province, China.	Samples were collected four AMD samples from three different mine sitesin Guangdong province, China. The AMD environments under study were characterized by low solution pH (0.83-2.74) and high metal concentrations. We characterized the genetic diversity and ecosystem functioning of acid mine drainage (AMD) by conducting a comparative metagenomic analysis of microbial communities. Metagenomic sequencing was performed using a Roche 454 GS-FLX sequencer, generating (in average) approximately 300 Mb of genomic sequence data per sample with an average read length of 350 bp.	SRR290507,SRR290508,SRR290509,SRR290510
SRP080023	Marine microbial communities from the Deep Pacific Ocean - MP2158 metagenome	 	SRR3961604
SRP106205	Tropical forest soil microbial communities from Panama analyzed to predict greenhouse gas emissions - Panama Soil Plot 6 MoBio metagenome	Predicting Climate Feedbacks: Tropical forest soil sample analyzed to predict greenhouse gas emissions - Panama Soil Plot 6 MoBio	SRR5499425
SRP104964	Marine viral communities from the Global Malaspina Expedition - Malaspina viral metaG Antarct_66 metagenome	Identifying viral communities during a global deep-ocean expedition	SRR5468492
SRP080011	Marine microbial communities from the Deep Atlantic Ocean - MP2634 metagenome	 	SRR3960575
SRP016343	Panchlora midgut metagenome Project	none provided	SRR593288
SRP080135	Forest soil microbial communities from El Dorado National Forest, California, USA - Mediterranean Blodgett CA OM1_M1 metagenome	 	SRR3977135,SRR3977136,SRR4030077
SRP099988	Freshwater microbial communities from Crystal Bog, Wisconsin, USA - CBH18Jul08 metagenome	 	SRR5260891
SRP098182	Lichen associated microbial communities from Aargau, Switzerland - Lobaria pulmonaria Metatranscriptome - T2DN+b metatranscriptome	Metatranscriptomics of Lichen associated microbial communities from a European ash tree to study symbiosis	SRR5211039
SRP093084	Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNAS2_MetaG metagenome	Metagenomics of anaerobic wastewater microbial communities to study anthropogenic carbon cycling	SRR5007224
SRP073479	marine metagenome Metagenome	Marine plastic debris has become a significant concern in ocean ecosystems worldwide. Little is known however, about its influence on microbial community structure and function. In 2008, we surveyed microbial communities and metabolic activities in seawater and on plastic on an oceanographic expedition through the â€˜Great Pacific garbage patchâ€™. The concentration of plastic particles in surface seawater within different size classes (2-5 mm and > 5 mm) ranged from 0.35-3.7 particles m-3 across sampling stations. These densities and the particle size distribution were consistent with previous values reported in the North Pacific Ocean. Net community oxygen production (NCP = gross primary production â€“ community respiration) on plastic debris was positive and so net autotrophic, whereas NCP in bulk seawater was close to zero. Scanning electron microscopy and metagenomic sequencing of plastic-attached communities revealed the dominance of a few metazoan taxa, and a diverse assemblage of photoautotrophic and heterotrophic protists and bacteria. Bryozoa, Cyanobacteria, Alphaproteobacteria and Bacteroidetes dominated all plastic particles, regardless of particle size. Bacteria inhabiting plastic were taxonomically distinct from surrounding picoplankton, and appeared well adapted to a surface-associated lifestyle. Genes with significantly higher abundances among plastic-attached bacteria included che genes, secretion system genes and nifH genes, suggesting enrichment for chemotaxis, frequent cell-to-cell interactions and nitrogen fixation. In aggregate, our findings suggest that plastic debris forms a habitat for complex microbial assemblages that have lifestyles, metabolic pathways and biogeochemical activities that are distinct from free-living planktonic microbial communities.	SRR3401469,SRR3401470,SRR3401471,SRR3401472,SRR3401473,SRR3401475,SRR3401476,SRR3401477,SRR3401478,SRR3401479,SRR3401481,SRR3401482,SRR3401483,SRR3401484,SRR3401485,SRR3401486,SRR3401487,SRR3401488,SRR3401489,SRR3401490,SRR3401491,SRR3401492
SRP080372	Freshwater microbial communities from Lake Mendota, WI - 07SEP2012 deep hole epilimnion metagenome	 	SRR3987951
SRP100247	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-HINK07-E metagenome	 	SRR5271215
SRP107992	Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - DEBay_Spr_0.19_>0.8_DNA metagenome	Biogeochemical cycling links between terrestrial and marine systems	SRR5601371
SRP107665	Freshwater lake bacterial and archeal communities from Alinen Mustajarvi, Finland, to study Microbial Dark Matter (Phase II) - Alinen MustajÃ¤rvi 5m metaG metagenome	Microbial Dark Matter project phase II - stepping deeper into unknown territory	SRR5581337
SRP007794	Mixed Alcohols Bioreactor shotgun metagenome comparison	Samples were grown in a laboratory-scale bioreactor. Lime-treated sorghum was used as the feedstock and poultry litter was used as a nutrient source in an 80:20 ratio. The system was buffered using CaCO3, to maintain a pH range of 5.7 to 6.4. Marine sediment, collected from the shoreline at Galveston, TX was used to inoculate the bioreactor system.	SRR330072
SRP058352	Mus musculus breed:C57BL6J Metagenome	Metagenomic study on the impact of early early-life pulsed antibiotic treatment in mouses	SRR2065340,SRR2065341,SRR2065342,SRR2065343,SRR2065344,SRR2065345,SRR2065346,SRR2065347,SRR2065348,SRR2065349,SRR2065350,SRR2065351,SRR2065352,SRR2065353,SRR2065354,SRR2065355,SRR2065356,SRR2065357,SRR2065358,SRR2065359,SRR2065360,SRR2065361,SRR2065362,SRR2065363,SRR2065364,SRR2065365,SRR2065366,SRR2065367,SRR2065368,SRR2065369,SRR2065370,SRR2065371,SRR2065372,SRR2065373,SRR2065374,SRR2065375,SRR2065376,SRR2065377,SRR2065378,SRR2065379,SRR2065380,SRR2065381,SRR2065382,SRR2065383,SRR2065384,SRR2065385,SRR2065386,SRR2065387,SRR2065388,SRR2065389,SRR2065390,SRR2065391,SRR2065392,SRR2065393,SRR2065394,SRR2065395,SRR2065396,SRR2065397,SRR2065398,SRR2065399,SRR2065400,SRR2065401,SRR2065402,SRR2065403,SRR2065404,SRR2065405,SRR2065406,SRR2065407,SRR2065408,SRR2065409,SRR2065410,SRR2065411,SRR2065412,SRR2065413,SRR2065414,SRR2065415,SRR2065416,SRR2065417,SRR2065418,SRR2065419,SRR2065420,SRR2065421,SRR2065422,SRR2065423,SRR2065424,SRR2065425,SRR2065426,SRR2065427,SRR2065428,SRR2065429,SRR2065430,SRR2065431,SRR2065432,SRR2065433,SRR2065434,SRR2065435,SRR2065436,SRR2065437,SRR2065438,SRR2065439,SRR2065440,SRR2065441,SRR2065442,SRR2065443,SRR2065444,SRR2065445,SRR2065446,SRR2065447,SRR2065448,SRR2065449,SRR2065450,SRR2065451,SRR2065452,SRR2065453,SRR2065454,SRR2065455,SRR2065456,SRR2065457
SRP103203	Wastewater treatment Type I Accumulibacter community from EBPR Bioreactor in Madison, WI, USA - Reactor 1_2/2/2009_ DNA metagenome	 	SRR5422032
SRP077397	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_A_09_P04_500 metagenome	 	SRR3723787
SRP105095	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil DNA_2013-058 metagenome	Metagenome sequencing to study the effect of microbial degradation of permafrost organic matter	SRR5471032
SRP000664	Taxonomy of Windshield Splatter: Contrasting Geographic Locations using Short Read Counts	How many species inhabit our immediate surrounding?  A straightforward collection technique suitable for answering this question is known to anyone who has ever driven a car at highway speeds.  The windshield of a moving vehicle is subjected to numerous insect strikes and can be used as a collection device for representative sampling. Combined with next-generation sequencing this approach allows for species identification.  Here we describe an application of this methodology to two geographic locations within the Northeastern United States.  We identified 61 arthropod and 39 plant species, seven of which showed significant difference in the relative abundance between the two localities.  Importantly, we developed a novel robust computational framework for the comparison of relative species abundances between geographic locations, which can be used in other read-count-based applications of next-generation sequencing, such as comparison of expression levels.	SRR014853,SRR014854,SRR014855,SRR014856
SRP118447	Miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS M4-4 metaG metagenome	Metagenomic analysis of the rhizosphere of three biofuel crops at the KBS intensive site	SRR6056515
SRP106398	Marine microbial and viral communities from oxygen minimum zone, Eastern Pacific Ocean - ETNP201406SV201 metagenome	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones: Oceanic sample ETNP201406SV201	SRR5506656
SRP107770	Populus root and rhizosphere microbial communities from Tennessee, USA - Soil MetaG P. deltoides SBSDD4 metagenome	Defining the functional diversity of the Populus root microbiome	SRR5582390
SRP081978	Freshwater microbial communities from Trout Bog Lake, WI - 03AUG2009 hypolimnion metagenome	 	SRR4029421
SRP080016	Marine microbial communities from the Deep Atlantic Ocean - MP2633 metagenome	 	SRR3960580
SRP080260	Arctic peat soil from Barrow, Alaska - NGEE Surface sample F53-1 deep-092012 metagenome	 	SRR3985523
SRP080316	Freshwater microbial communities from Lake Mendota, WI - 05AUG2010 deep hole epilimnion metagenome	 	SRR3986878
SRP104801	Forest soil microbial communities from USA, for metatranscriptomics studies - Jemez Pines PO 2A metatranscriptome	Metatranscriptomics of Soil Forest Ecosystems in New Mexico, USA	SRR5468063
SRP096391	Active sludge cell enrichment communities	Active sludge cell enrichment microbial communities from wastewater treatment plant in Klosterneuburg, Austria	SRR5165169
SRP104066	Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS M7-3 metaG metagenome	Metagenomic analysis of the rhizosphere of three biofuel crops at the KBS intensive site	SRR5451714
SRP012480	Unique nucleocytoplasmic dsDNA and +ssRNA viruses are associated with the dinoflagellate endosymbionts of corals	The residence of dinoflagellate algae (genus: Symbiodinium) within scleractinian corals is critical to the construction and persistence of tropical reefs. In recent decades, however, acute and chronic environmental stressors increasingly destabilize this symbiosis, ultimately leading to coral mortality and reef decline. Viral infection has been suggested as a trigger of coral-Symbiodinium dissociation; knowledge of the diversity and hosts of coral-associated viruses is critical to evaluating this hypothesis. Here, we present the first genomic evidence of viruses associated with Symbiodinium, based on the presence of transcribed +ssRNA and dsDNA virus-like genes in cDNA viromes of the coral Montastraea cavernosa and EST libraries generated from Symbiodinium cultures. The M. cavernosa viromes contained divergent viral sequences similar to the major capsid protein of the dinoflagellate-infecting +ssRNA Heterocapsa circularisquama virus (HcRNAV), suggesting a highly novel dinornavirus could infect Symbiodinium. Further, similarities to dsDNA viruses dominated (~69%) eukaryotic viral similarities in the M. cavernosa viromes. Transcripts highly similar to eukaryotic algae-infecting phycodnaviruses were identified in the viromes, and homologs to these sequences were found in two independently generated Symbiodinium EST libraries. Phylogenetic reconstructions substantiate that these transcripts are undescribed and distinct members of the nucleocytoplasmic large DNA virus (NCLDVs) group. Based on a preponderance of evidence, we infer that the novel NCLDVs and RNA virus described here are associated with the algal endosymbionts of corals. If such viruses disrupt Symbiodinium, they are likely to impact the flexibility and/or stability of coral-algal symbioses, and thus long term reef health and resilience.	SRR493106,SRR493108
SRP045059	Metagenome from the lichen Dibaeis baeomyces	A lichen is a symbiotic association of a fungus and a photosynthesizing partner, such as a green algae or cyanobacterium. The symbiosis is usually obligate for the fungus. The goal of this study was to generate genome information for phylogenetic analysis from the cultured mycobionts (lichenizing fungi) and lichen thalli spanning the diversity of lichenized groups in the classes Lecanoromycetes, Eurotiomycetes, Dothidiomycetes and Arthoniomycetes. Dibaeis baeomyces is a lichen composed of the lichenizing fungus Dibaeis baeomyces (for which the association is named) and its green algal photobiont Coccomyxa. The fungus Dibaeis baeomyces is in the class Lecanoromycetes, subclass Ostropomycetidae.	SRR1531517
SRP103172	Marine gutless worms symbiont microbial communities from Max Planck institute for Marine Microbiology, Germany - Olavius loisae LIZARD ISLAND.2 metagenome	 	SRR5420679
SRP099978	Freshwater microbial communities from Crystal Bog, Wisconsin, USA - CBE31Jul07 metagenome	 	SRR5260838
SRP090710	Viral Metagenome from Mouse Stool Infected with Murine Astrovirus	Mouse stool collected from an internal mouse colony that was infected with murine astrovirus was sequenced for novel viruses.	SRR4323943
ERP006152	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	Metatranscriptome sequencing from  different depths to retain small and large cell size (Protists Organisms). The RNA was extracted and submitted to high throughput sequencing.	ERR1013384,ERR1013385,ERR550378,ERR550379,ERR550380,ERR550381,ERR550382,ERR550383,ERR550384,ERR550385,ERR550386,ERR550388,ERR550389,ERR550390,ERR550391,ERR550392,ERR550393,ERR550394,ERR550395,ERR550396,ERR550397,ERR550399,ERR550400,ERR550401,ERR550402,ERR550403,ERR550404
SRP054996	Red Sea cold seep sponge Suberites sp. Metagenome	We aimed to study the composition and function of the microbial community in the sponge Suberites sp. living in the sulfur-rich environment. With the metagenome data, we can also recover single genomes of microbes of interest.	SRR1802789
